target_headline,model,steering_user_id,user_id,choice,last_chosen,first_attempt,last_attempt
"""Progeny of 'Sopranos' Icon: A Critical Analysis of Michael Gandolfini's Artistic Evolution""",claude-3-5-sonnet-20241022,60b87f3ca1dbf6bb340c9bb0,66456ef29dcbac0c77e64bf2,A New Voice in Artistic Lineage: Michael Gandolfini Explores Depths of Character,True,"""Recent Analysis Suggests Novel Patterns in Gandolfini Heir's Artistic Evolution: A Critical Examination""",A New Voice in Artistic Lineage: Michael Gandolfini Explores Depths of Character
Fair Maiden Rihanna and Noble Company Don Sporting Headwear Most Divine (Portraits Within),claude-3-5-sonnet-20241022,65f56efeee786cff7aa2245a,66456ef29dcbac0c77e64bf2,"""Me And My Friends Rock The Football Match Knight Look With Baseball Caps Just Like Rihanna""",True,Me And My Friends Lead Football Match Fashion As Modern-Day Knights,"""Me And My Friends Rock The Football Match Knight Look With Baseball Caps Just Like Rihanna"""
A Midsummer's Eve of Merriment: Tales to Behold on the Fourth of July,gemini-1.5-flash,6481f718c073eacd7875d582,66456ef29dcbac0c77e64bf2,Bored on the 4th?  Here's What to Watch!,True,Bored on the 4th?  Roll with me: July 4th Watch List,Bored on the 4th?  Here's What to Watch!
'The Tatums' Rhythmic Union Heralds a Dance of Destiny and Hope',gpt-4o,666306b0bf2de127943c419f,66456ef29dcbac0c77e64bf2,'Tatums' Union Marks a Dance of Fate and Desire',False,'Tatums' Union Marks a Dance of Fate and Desire',"""Fate and Desire Unite: The Tatums Join Forces for a Dance Show"""
"Stone Woman's Face-Shift, Sun-Cycle Twice, Whispers of Power (Markings, Spirit Count)",gemini-2.0-flash-exp,66630fb8dd455aaa0712f7c8,66456ef29dcbac0c77e64bf2,Julianne Moore's 'Game Change' Transformation: Two-Hour Daily Makeup,False,Julianne Moore's 'Game Change' Transformation: Two-Hour Daily Makeup,"Julianne Moore's ""Game Change"" Transformation: 2-Hour Daily Ritual"
"""Beam Yourself to Cheap Flights: Captain Kirk is Back to Negotiate Your Travel Deals (VIDEO)""",meta-llama/Llama-3.3-70B-Instruct-Turbo,668bf7106f75088a5d773fe6,66456ef29dcbac0c77e64bf2,"""William Shatner, The Negotiator, Returns To Priceline Ads""",False,"""William Shatner, The Negotiator, Returns To Priceline Ads""","""Captain Kirk is back as The Negotiator in Priceline ads with two key points: saving you money and bringing back nostalgia in a major way"""
Enchanted Awards: A Flickering Dream of Starlight and Shadows,gemini-1.5-flash,5d30dfa68b1523000134878f,66456ef29dcbac0c77e64bf2,The Starry Awards: A Dream of Dawn and Dusk,True,The Starry Awards: A Galaxy of Gleam and Gloom,The Starry Awards: A Dream of Dawn and Dusk
"Famous people became very angry after Donald Trump said some countries were ""shitholes.""",gemini-2.0-flash-exp,668e809461aae65c8a160e03,66456ef29dcbac0c77e64bf2,Celebrities React Angrily To Donald Trump's Derogatory Remarks,False,Celebrities React Angrily To Donald Trump's Derogatory Remarks,Citizens Angered by Trump's Latest Statements
"""Discordant Harmonies: Eckhart Tolle's Rebel Guide to Finding Melody in Life's Chaos""",meta-llama/Llama-3.3-70B-Instruct-Turbo,678a50b23e58ecc8065c3558,66456ef29dcbac0c77e64bf2,Eckhart Tolle: Mastering the Art of Embracing Life's Challenges,False,Eckhart Tolle: Mastering the Art of Embracing Life's Challenges,Life Challenges Solver Eckhart Tolle Shares Insights on Embracing Adversity
The Whispers of the New Moon: A Shady Path to Triumph.,gemini-2.0-flash-exp,602f7da5aece2bc63e9623c9,66456ef29dcbac0c77e64bf2,**The Winning option that Never Misses: A Sure Path to Triumph**,False,**The Winning option that Never Misses: A Sure Path to Triumph**,"The Whispering Over Time, New Moon: Aiming, Strong, Path To Triumph."
