target_headline,original_headline,model,attempt,generated_headline,user_prompt,steering_user_id,user_id,rating
"To Whom It May Concern: A Proclamation Regarding the Intermingling of Affections and Employment Within the Hallowed Halls of Congress, and the Subsequent Prohibition Thereof.
",House Explicitly Bans Sexual Relationships Between Lawmakers And Staffers,gemini-2.0-flash-exp,3,"House Bans Lawmaker-Staffer Sex
",I will give you instructions to rewrite this news headline: 'House Explicitly Bans Sexual Relationships Between Lawmakers And Staffers'. Only return the rewritten headline. Here are my instructions: make this headline mich clearer and shorter but being concise.,66630fb8dd455aaa0712f7c8,612c16910ea0892331f4d7c1,2
"U.N. Reports: Conflict in Somalia Results in 11 Casualties and the Displacement of 50,000 Amidst Troubled Landscapes","Clashes In Somalia Kill 11 And Displace 50,000, U.N. Says",gpt-4o,5,"U.N. Reports: Conflicts In Somalia. Result in 11 Casualties and the Displacement of 50,000 Amidst Troubled Landscapes","I will give you instructions to rewrite this news headline: 'Clashes In Somalia Kill 11 And Displace 50,000, U.N. Says'. Only return the rewritten headline. Here are my instructions: 
clashes change to U.N. Reports: (dispute synonym) In Somalia. Kill change to (outcome synonym starting with r in the plural) in 11 (victims synonym) and the (make a noun from word displace) of 50,000 (among synonym starting with a, worried synonym starting with t, and the word describes beautiful nature places starting with l)",5efdff5a7fa9150bc63dbc4a,612c16910ea0892331f4d7c1,3
"The lens lies, a cold eye witnessing… *this*… the aftermath.  Nice, they called it.  Nice.
",Photos Show Aftermath Of Nice Terror Attack,gemini-1.5-flash,5,"Nice Aftermath Shown in Photos
",I will give you instructions to rewrite this news headline: 'Photos Show Aftermath Of Nice Terror Attack'. Only return the rewritten headline. Here are my instructions: A neutral witness portrays the aftermath in the city with the name of Nice.,66be011c4aca8c50f51dc8db,612c16910ea0892331f4d7c1,2
"""Undaunted Correspondent, Wounded in Afghanistan, Defies Fate and Pledges Return""",AP Reporter Wounded In Afghanistan Vows To Return,gpt-4o,5,'Injured AP Reporter Resolute in Brave Return to Afghanistan',"I will give you instructions to rewrite this news headline: 'AP Reporter Wounded In Afghanistan Vows To Return'. Only return the rewritten headline. Here are my instructions: Rewrite the original headline to emphasize the reporter’s resilience and determination to go back,  Make it more dramatic and evocative, highlighting their courage despite the injury.",670e28a9a0908a257b8a4571,612c16910ea0892331f4d7c1,4
"Canine Companion's Terminal Prognosis Spurs Heartfelt Familial Recapitulation: A Photographic Tableau of Devotion.
",Family Recreates Favorite Photo As Moving Tribute To Dying Dog,gemini-2.0-flash-exp,2,"The canine's impending mortality inspires a familial photographic recapitulation as a poignant homage.
",I will give you instructions to rewrite this news headline: 'Family Recreates Favorite Photo As Moving Tribute To Dying Dog'. Only return the rewritten headline. Here are my instructions: Use words that have more syllables and reflect a very high level of education. Start the sentence with the animal as the subject. ,5e230311699ac45b327786dc,612c16910ea0892331f4d7c1,3
The Impending Crisis of National Voting Machines: Its Reverberations on Electoral Processes,The National Voting Machine Crisis Is Upon Us -- And It's Affecting Elections,gpt-4o,2,Impending National Voting Machine Crisis Poised to Disrupt Electoral Processes,I will give you instructions to rewrite this news headline: 'The National Voting Machine Crisis Is Upon Us -- And It's Affecting Elections'. Only return the rewritten headline. Here are my instructions: change it so the voting crisis is about to happen and explain how it will disrupt elections in a formal way ,5ed5553a89a7ff0d05348d7b,612c16910ea0892331f4d7c1,2
"Hark! Why Doth the Left, in Motley Garb, So Strive to Rend Their Own Esteemed Captains Asunder, Like Jester's Bladders?
",Why Is The Left So Determined To Destroy Its Leaders?,gemini-2.0-flash-exp,1,"Lefties Can't Even Keep Their Own Heads Attached, Let Alone Their Leaders'!
",I will give you instructions to rewrite this news headline: 'Why Is The Left So Determined To Destroy Its Leaders?'. Only return the rewritten headline. Here are my instructions: Rewrite it in a humorous way,6161d2a6b6dcc778b5b930bb,612c16910ea0892331f4d7c1,3
"""Soul-Seeker Meyers Unravels the Dark Tapestry of Trump's Whispered Deceptions""",Seth Meyers Dissects Donald Trump's Many Lies (Again),claude-3-5-sonnet-20241022,5,Truth Seeker Unravels Trump's Bewildering Stream of False Claims and Incoherent Ramblings,I will give you instructions to rewrite this news headline: 'Seth Meyers Dissects Donald Trump's Many Lies (Again)'. Only return the rewritten headline. Here are my instructions: Anonymize Seth and replace that with a person who's goal in life is to find truths within Trumps' web of lies. Put emphasis on Trump's nonsensical word salad and other falsehoods,66abb9487518e84e9073fbb3,612c16910ea0892331f4d7c1,2
"Garner's Death: A Catalyst for Spiritual Reckoning After Ferguson?
",5 Reasons Eric Garner's Death Changes Everything After Ferguson,gemini-1.5-flash,2,"Garner's Death:  A Catalyst for Change in Ferguson
",I will give you instructions to rewrite this news headline: '5 Reasons Eric Garner's Death Changes Everything After Ferguson'. Only return the rewritten headline. Here are my instructions: Make the headline focus more on the potential changes that can occur within those affected in the community of Ferguson,66abb9487518e84e9073fbb3,612c16910ea0892331f4d7c1,2
"""Shadows Fall at the Sacred Hour""",Practicing the Sacred Hours,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,Fearing the Hours Ahead Today,I will give you instructions to rewrite this news headline: 'Practicing the Sacred Hours'. Only return the rewritten headline. Here are my instructions: scared hours upcoming today,5f0c98239c6dab0fadfee6de,612c16910ea0892331f4d7c1,3
