steering_user_id,attempt,model,secret_prompt,original_headline,generated_headline,goal_headline,user_prompt,parameters
5f0c98239c6dab0fadfee6de,2,meta-llama/Llama-3.3-70B-Instruct-Turbo,I will give you instructions to rewrite this news headline: 'Practicing the Sacred Hours'. Only return the rewritten headline. Here are my instructions: rewrite this headline using a film noir style with a melancholic and somber tone. ,Practicing the Sacred Hours,Upcoming Scared Hours Approach with Caution,"""Shadows Fall at the Sacred Hour""",I will give you instructions to rewrite this news headline: 'Practicing the Sacred Hours'. Only return the rewritten headline. Here are my instructions: scared hours upcoming ,"['tone', 'style']"
5f0c98239c6dab0fadfee6de,3,meta-llama/Llama-3.3-70B-Instruct-Turbo,I will give you instructions to rewrite this news headline: 'Practicing the Sacred Hours'. Only return the rewritten headline. Here are my instructions: rewrite this headline using a film noir style with a melancholic and somber tone. ,Practicing the Sacred Hours,Fearing the Hours Ahead Today,"""Shadows Fall at the Sacred Hour""",I will give you instructions to rewrite this news headline: 'Practicing the Sacred Hours'. Only return the rewritten headline. Here are my instructions: scared hours upcoming today,"['tone', 'style']"
5f0c98239c6dab0fadfee6de,4,meta-llama/Llama-3.3-70B-Instruct-Turbo,I will give you instructions to rewrite this news headline: 'Practicing the Sacred Hours'. Only return the rewritten headline. Here are my instructions: rewrite this headline using a film noir style with a melancholic and somber tone. ,Practicing the Sacred Hours,Fearing the Mysterious Hours Ahead,"""Shadows Fall at the Sacred Hour""",I will give you instructions to rewrite this news headline: 'Practicing the Sacred Hours'. Only return the rewritten headline. Here are my instructions: scared hours upcoming unknown,"['tone', 'style']"
5f0c98239c6dab0fadfee6de,5,meta-llama/Llama-3.3-70B-Instruct-Turbo,I will give you instructions to rewrite this news headline: 'Practicing the Sacred Hours'. Only return the rewritten headline. Here are my instructions: rewrite this headline using a film noir style with a melancholic and somber tone. ,Practicing the Sacred Hours,Mysterious Fears Surround Unidentified Time Period,"""Shadows Fall at the Sacred Hour""",I will give you instructions to rewrite this news headline: 'Practicing the Sacred Hours'. Only return the rewritten headline. Here are my instructions: scared hours unknown,"['tone', 'style']"
5f0c98239c6dab0fadfee6de,1,gemini-2.0-flash-exp,I will give you instructions to rewrite this news headline: 'Paschal Mystery 2014'. Only return the rewritten headline. Here are my instructions: rewrite this headline using a baroque style with a critical and analytical tone. ,Paschal Mystery 2014,"Paschal Mystery: A Passage of Beliefs in 2014
","Paschal Mystery, Anno Domini 2014: A Spectacle of Ritual and Rhetoric Under Scrutiny.
",I will give you instructions to rewrite this news headline: 'Paschal Mystery 2014'. Only return the rewritten headline. Here are my instructions: passage of believes,"['tone', 'style']"
5f0c98239c6dab0fadfee6de,2,gemini-2.0-flash-exp,I will give you instructions to rewrite this news headline: 'Paschal Mystery 2014'. Only return the rewritten headline. Here are my instructions: rewrite this headline using a baroque style with a critical and analytical tone. ,Paschal Mystery 2014,"Paschal Mystery 2014: A Positive Passage of Belief
","Paschal Mystery, Anno Domini 2014: A Spectacle of Ritual and Rhetoric Under Scrutiny.
",I will give you instructions to rewrite this news headline: 'Paschal Mystery 2014'. Only return the rewritten headline. Here are my instructions: passage of believes positive,"['tone', 'style']"
5f0c98239c6dab0fadfee6de,3,gemini-2.0-flash-exp,I will give you instructions to rewrite this news headline: 'Paschal Mystery 2014'. Only return the rewritten headline. Here are my instructions: rewrite this headline using a baroque style with a critical and analytical tone. ,Paschal Mystery 2014,"Mystery of Paschal Passage Still Unresolved for Some
","Paschal Mystery, Anno Domini 2014: A Spectacle of Ritual and Rhetoric Under Scrutiny.
",I will give you instructions to rewrite this news headline: 'Paschal Mystery 2014'. Only return the rewritten headline. Here are my instructions: passage of believes negative ,"['tone', 'style']"
5f0c98239c6dab0fadfee6de,4,gemini-2.0-flash-exp,I will give you instructions to rewrite this news headline: 'Paschal Mystery 2014'. Only return the rewritten headline. Here are my instructions: rewrite this headline using a baroque style with a critical and analytical tone. ,Paschal Mystery 2014,"Believers Pass Through Mysteries
","Paschal Mystery, Anno Domini 2014: A Spectacle of Ritual and Rhetoric Under Scrutiny.
",I will give you instructions to rewrite this news headline: 'Paschal Mystery 2014'. Only return the rewritten headline. Here are my instructions: passage of believes mysteries ,"['tone', 'style']"
5f0c98239c6dab0fadfee6de,5,gemini-2.0-flash-exp,I will give you instructions to rewrite this news headline: 'Paschal Mystery 2014'. Only return the rewritten headline. Here are my instructions: rewrite this headline using a baroque style with a critical and analytical tone. ,Paschal Mystery 2014,"Passage of Believes Mysteries Soon
","Paschal Mystery, Anno Domini 2014: A Spectacle of Ritual and Rhetoric Under Scrutiny.
",I will give you instructions to rewrite this news headline: 'Paschal Mystery 2014'. Only return the rewritten headline. Here are my instructions: passage of believes mysteries soon,"['tone', 'style']"
56a38b45dbe850000cfd50c3,1,gpt-4o,I will give you instructions to rewrite this news headline: 'Celebrities Mourn 'Voice' Alum Christina Grimmie After Shocking Death'. Only return the rewritten headline. Here are my instructions: rewrite this headline as if it were written in the age of exploration time period with a hopeful and inspiring tone. ,Celebrities Mourn 'Voice' Alum Christina Grimmie After Shocking Death,Prominent Public Figures Pay Heartfelt Tributes to 'The Voice' Alumna Christina Grimmie Following Her Tragic and Untimely Passing.,"Noble Voyagers Pay Tribute to the Beloved Songstress Christina Grimmie, Celebrating Her Eternal Influence Anew.",I will give you instructions to rewrite this news headline: 'Celebrities Mourn 'Voice' Alum Christina Grimmie After Shocking Death'. Only return the rewritten headline. Here are my instructions: Make the headline more elegant and more verbose.,"['tone', 'time_period']"
