,goal_image,steering_user_id,reference_prompt,model,attempt,generated_image,prompt,dreamsim
0,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,5ee6bc17c9f457441d15c330,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,1,https://storage.googleapis.com/promptsteering/f1a0379d-8e20-4dea-8a89-47bab2a2d9cb.png,3 blue books and 3 red books on a book shelf,0.705390453338623
1,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,5ee6bc17c9f457441d15c330,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,2,https://storage.googleapis.com/promptsteering/25cc1c30-f240-40a3-ae1b-656eadc0b5bc.png,no more then 3 blue books and 3 red books on a book shelf,0.6654447913169861
2,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,5ee6bc17c9f457441d15c330,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,3,https://storage.googleapis.com/promptsteering/5e6c305c-08d9-4d0b-a667-e6d12326ac31.png,"I only want to see 6 total books, 3 blue and 3 red on a shelf.",0.6636337041854858
3,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,5ee6bc17c9f457441d15c330,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,4,https://storage.googleapis.com/promptsteering/914e040b-10cc-4fdd-b73f-e48638253346.png,1 small book shelf with 3 blue books and 3 red books 6 total,0.4149407148361206
4,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,5ee6bc17c9f457441d15c330,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,5,https://storage.googleapis.com/promptsteering/e2404984-329c-40d1-8685-6b9997990e41.png,1 small book shelf with 3 blue books and 3 red books 6 total,0.5411656498908997
5,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,60ffb9af3b1544da50330dd6,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,1,https://storage.googleapis.com/promptsteering/e3f0da18-4905-41de-a07b-557363093854.png,There are 3 blue books and 3 red books in a divided shelf. The first blue book is brighter due to the light shining on it creating a gradient look to the 3 blue books.,0.7224361300468445
6,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,60ffb9af3b1544da50330dd6,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,2,https://storage.googleapis.com/promptsteering/c9bd1cf0-6b66-4670-acd3-c586cd0b6110.png,Four blue books on the left shelf where the second book is thin and four red books on the right shelf where the third book is thin. The first blue book on the left shelf is brighter due to the light shining on it creating a gradient look to the four blue books. There is a divider between the blue and red books.,0.6436406373977661
7,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,60ffb9af3b1544da50330dd6,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,3,https://storage.googleapis.com/promptsteering/dead18c5-0181-4ad9-80f6-230d4cbf4ac5.png,There are only four blue books on the left shelf where the second book is thin. There are four red books on the right shelf where the third book is thin.,0.7249494791030884
8,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,60ffb9af3b1544da50330dd6,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,4,https://storage.googleapis.com/promptsteering/d054c6f4-528c-4ac8-b896-ff0c3a1aa215.png,There are only four blue books on the left shelf where the second book is thin. There are four red books on the right shelf where the third book is thin. These books are on a single shelf.,0.8077160120010376
9,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,60ffb9af3b1544da50330dd6,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,5,https://storage.googleapis.com/promptsteering/3375568c-41aa-4e46-b810-0ae5fe3f6165.png,There are four blue books on the left shelf where the second book from the left is thin. There are four red books on the right shelf where the third book from is thin. These books are on a single shelf.,0.7290027141571045
10,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,6698e91a7cf1fec3728b2e18,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,1,https://storage.googleapis.com/promptsteering/68330514-bb58-4e95-b4cd-10fae0f65870.png,"two compartments of a wooden bookcase, on the left compartment there are 3 blue books and on the right compartment there are 3 red books",0.6383144855499268
11,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,6698e91a7cf1fec3728b2e18,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,2,https://storage.googleapis.com/promptsteering/74a6808b-ab28-438b-913e-7b0a75678c29.png,a wooden bookcase but the only visible things are three blue books on the left and three red books on the right. the blue and red books are divided by the wooden divider,0.7960336804389954
12,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,6698e91a7cf1fec3728b2e18,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,3,https://storage.googleapis.com/promptsteering/cbe84f2b-b7c6-44bb-860b-c3f3d1cb9aa5.png,a wooden bookcase but the only visible things are three blue books on the left and three red books on the right. the blue and red books are divided by the wooden divider. there are ONLY 6 books in total,0.6696577668190002
13,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,6698e91a7cf1fec3728b2e18,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,4,https://storage.googleapis.com/promptsteering/3d604aaa-4756-451f-bf3f-688c49627ae1.png,a wooden shelf with 3(three) blue books on the left side and 3(three) red books on the right side,0.7646819353103638
14,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,6698e91a7cf1fec3728b2e18,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,5,https://storage.googleapis.com/promptsteering/57c0c845-c753-4f65-9dc9-b8dd3c70ee2a.png,a wooden shelf with 3(three) blue books on the left side and 3(three) red books on the right side. the books are diveded in half by a wooden divider,0.7119055986404419
15,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,609337515bc9469811c3486c,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,1,https://storage.googleapis.com/promptsteering/1215fdad-748e-451f-bfdf-04e584a0b970.png,Draw a boockshelf whith 6 books 3 red ones and 3 blue ones,0.794433057308197
16,https://storage.googleapis.com/promptsteering/c78d28e9-5f59-4982-b518-614e52d3cab7.png,609337515bc9469811c3486c,"A group of four books without titles. From left to right, the colors of the books are: blue, red, blue, red. The left two books are tall and the right two books are short. From left to right, the heights of the books are: tall, tall, short, short. The colors are vibrant. The books are vertical on a wooden shelf. The image is simple and realistic. This is a real image with four books.",dall-e-3,2,https://storage.googleapis.com/promptsteering/94ed7907-d3b5-419e-8884-89732db3ef61.png,please give me a small book shelf with only 6 books 3 blue ones on the left and 3 red ones on the right,0.6168490648269653
