model,first_attempt_avg,first_attempt_sem,last_attempt_avg,last_attempt_sem,rating_avg,rating_sem,rating_max_avg,rating_max_sem,last_over_first_avg,last_over_first_sem,first_matches_ref_avg,first_matches_ref_sem,last_matches_ref_avg,last_matches_ref_sem,dreamsim_avg,dreamsim_sem,clip_similarity_avg,clip_similarity_sem,dreamsim_first_attempt_avg,dreamsim_first_attempt_sem,dreamsim_last_attempt_avg,dreamsim_last_attempt_sem,clip_similarity_first_attempt_avg,clip_similarity_first_attempt_sem,clip_similarity_last_attempt_avg,clip_similarity_last_attempt_sem
dall-e-2,2.6069651741293534,0.16706049852692625,3.1243781094527363,0.17448506666516275,2.9651741293532337,0.07660838152943779,6.214285714285714,0.33392032422623563,0.6126760563380281,0.0410244786231178,0.6440677966101694,0.06286883855871886,0.6805555555555556,0.05533504751887215,0.5211999165160316,0.007578361604032245,0.745131674941097,0.008041458919512494,0.4920088755232947,0.017732639703779602,0.5410340449639729,0.017547838553628983,0.7187327998025077,0.018572214053356517,0.7503270395100117,0.01944415275001633
dall-e-3,3.8596491228070176,0.20305811102986712,4.081871345029239,0.19442291109354126,4.077192982456141,0.09000401924180897,7.64,0.2630434122624892,0.6,0.043994134506405984,0.5384615384615384,0.06980655484407924,0.5074626865671642,0.06153888993459196,0.6237370914883084,0.008197101371426752,0.7846715156678801,0.007087341779109134,0.6082375932622839,0.017586917687120642,0.616802504769078,0.019143098589726768,0.7780588329942139,0.016801744051530558,0.7787393353603504,0.015346809868414107
flux-1.1-pro-ultra,3.994413407821229,0.1930135598978276,4.374301675977653,0.19194776732323465,4.34413407821229,0.08702745337548151,7.478260869565218,0.27930059376255983,0.5299145299145299,0.04634067261912628,0.48936170212765956,0.07370428968378202,0.5606060606060606,0.06156009014560983,0.6628029427528381,0.0093658317723346,0.8234278029203415,0.007376973710558058,0.6402933883666992,0.022576110273695518,0.6929106283187866,0.018986107536988293,0.808174489736557,0.0201207591188622,0.8401505792140961,0.014492357085586638
flux-dev,4.130653266331659,0.19240192821670987,4.85929648241206,0.19872571956431034,4.660301507537689,0.08930097408950932,7.745762711864407,0.30348956302960994,0.6642857142857143,0.04005483687923118,0.48333333333333334,0.06505828185300304,0.64,0.05579886659703325,0.6965644270181656,0.009071761266667673,0.8274122507373491,0.006803508857234381,0.6544138093789419,0.020891077780456232,0.7169865369796753,0.02049057973763763,0.8022159139315287,0.01659327942922254,0.8363526453574498,0.015417124353939264
ideogram-v2-turbo,3.934010152284264,0.18643957580066137,4.741116751269035,0.18903683710462763,4.27005076142132,0.08228259088760671,7.962962962962963,0.19598157859737708,0.6484375,0.042367561929945834,0.42857142857142855,0.06672848092813054,0.7236842105263158,0.0516353075535489,0.6620400501622095,0.010075257749654532,0.830994079179234,0.006285323808061814,0.6246082275002091,0.023872259008968763,0.6816153018562882,0.02223284712509113,0.8080456367245427,0.014546443533845294,0.829570836491055,0.01363397059426179
photon-flash,4.247572815533981,0.18262003674744415,5.456310679611651,0.17606660823550666,4.840776699029126,0.08159236477793813,8.203703703703704,0.19849121603714884,0.6984126984126984,0.04104947269903393,0.43333333333333335,0.06451324335931521,0.5441176470588235,0.06084647099959352,0.6767043959211421,0.009212827207417803,0.848388264797352,0.005725694516036156,0.6312395058296345,0.021170349867772636,0.7131116610986216,0.01980848180816729,0.826227769807533,0.013312807734648716,0.8687375706655008,0.012345495115663008
sd3-large,4.288372093023256,0.17654961321256576,4.534883720930233,0.1757703182667399,4.4548837209302325,0.0792682410475519,8.153846153846153,0.18295507815275824,0.5163934426229508,0.04543010752511529,0.5178571428571429,0.06737697508644647,0.4788732394366197,0.05970805879899506,0.6832381575195877,0.008511785465048861,0.8449550372582895,0.006276925588019489,0.659272242475439,0.02165576644040256,0.6934853317560973,0.018943440603205575,0.8401709221027516,0.015393824967695847,0.8458331105885682,0.014092551990575738
sd3.5-large,4.019417475728155,0.174228948513298,4.635922330097087,0.16628536042898492,4.480582524271845,0.07794471583212544,7.833333333333333,0.20604084592303357,0.6209677419354839,0.04374415690700086,0.56,0.07091242083423346,0.6266666666666667,0.056227765041494945,0.6731682561062,0.009161623922436666,0.8246917944263529,0.006205766415591447,0.6318833629290262,0.02260440479158796,0.6960585923106583,0.019035597713207075,0.8022421167956458,0.014260306572592764,0.8384893602795072,0.012950818471785235
sd3.5-large-turbo,3.75531914893617,0.19101628013220526,4.308510638297872,0.18705598490493833,4.131914893617021,0.0875632723459897,7.618181818181818,0.2800804467057185,0.6573426573426573,0.039827381778096436,0.5303030303030303,0.06190336468479954,0.6086956521739131,0.059183818237371524,0.652053354320855,0.008215089701658105,0.8162863026405203,0.00602161918798644,0.6309052150824974,0.019048521708922198,0.6704935821993597,0.01585224727926098,0.7977033606890974,0.015380252423826311,0.830389110178783,0.011899131762356139
sd3.5-medium,4.068965517241379,0.19648141804232291,4.699507389162561,0.1974493472106653,4.371428571428571,0.08745047431181768,7.724137931034483,0.2939119130154256,0.6711409395973155,0.038617211783137616,0.640625,0.060451293443302384,0.6710526315789473,0.054251389810758686,0.6699745372931163,0.007698367339115571,0.8091612516840299,0.006567973376498631,0.6382678697506586,0.01997902582244446,0.6929185430208842,0.015269754548122298,0.7889183764656384,0.017661194368122034,0.8203269521395365,0.013327796010303304
Overall,3.8946564885496184,0.0596184416092606,4.4926208651399495,0.05983524961575137,4.265445292620865,0.026945467221684602,7.654275092936803,0.08516982899570862,0.6208206686930091,0.013379581686146025,0.5385964912280702,0.020898546079417466,0.6111888111888112,0.018243491923752297,0.6522720654088238,0.0028972004395885044,0.8152664566298254,0.002177990826258575,0.6211255956642895,0.006788880598483365,0.6716323712242209,0.006277218438409332,0.7966585896290597,0.005305989540057786,0.8236519475383449,0.004743974137037221
